Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,count
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,77
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,skipped,4
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Isaac Wright Jr.,Isaac Wright Jr.,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,Maya D. Wiley,Art Chang,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,skipped,Aaron S. Foldenauer,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Aaron S. Foldenauer,skipped,skipped,6
Aaron S. Foldenauer,Aaron S. Foldenauer,Andrew Yang,Andrew Yang,Andrew Yang,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Andrew Yang,Andrew Yang,Isaac Wright Jr.,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Dianne Morales,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Art Chang,skipped,Andrew Yang,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Dianne Morales,Scott M. Stringer,Maya D. Wiley,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Dianne Morales,Scott M. Stringer,Scott M. Stringer,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Dianne Morales,skipped,skipped,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Eric L. Adams,Scott M. Stringer,Dianne Morales,2
Aaron S. Foldenauer,Aaron S. Foldenauer,Eric L. Adams,Shaun Donovan,Eric L. Adams,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Eric L. Adams,skipped,skipped,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Isaac Wright Jr.,Andrew Yang,Eric L. Adams,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Kathryn A. Garcia,Dianne Morales,Joycelyn Taylor,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Kathryn A. Garcia,Eric L. Adams,Joycelyn Taylor,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Maya D. Wiley,Eric L. Adams,Isaac Wright Jr.,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Scott M. Stringer,Joycelyn Taylor,skipped,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Scott M. Stringer,Raymond J. McGuire,Art Chang,1
Aaron S. Foldenauer,Aaron S. Foldenauer,Scott M. Stringer,Scott M. Stringer,Shaun Donovan,1
Aaron S. Foldenauer,Aaron S. Foldenauer,overvote,Isaac Wright Jr.,Kathryn A. Garcia,1
Aaron S. Foldenauer,Aaron S. Foldenauer,overvote,Raymond J. McGuire,Art Chang,1
Aaron S. Foldenauer,Aaron S. Foldenauer,overvote,Scott M. Stringer,skipped,1
Aaron S. Foldenauer,Aaron S. Foldenauer,overvote,skipped,skipped,1
Aaron S. Foldenauer,Aaron S. Foldenauer,skipped,skipped,Aaron S. Foldenauer,1
Aaron S. Foldenauer,Aaron S. Foldenauer,skipped,skipped,skipped,14
Aaron S. Foldenauer,Andrew Yang,Art Chang,Aaron S. Foldenauer,Aaron S. Foldenauer,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Andrew Yang,skipped,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Dianne Morales,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Dianne Morales,Kathryn A. Garcia,2
Aaron S. Foldenauer,Andrew Yang,Art Chang,Dianne Morales,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Dianne Morales,Shaun Donovan,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Isaac Wright Jr.,Shaun Donovan,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Joycelyn Taylor,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Joycelyn Taylor,writein,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Kathryn A. Garcia,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Maya D. Wiley,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Raymond J. McGuire,Dianne Morales,3
Aaron S. Foldenauer,Andrew Yang,Art Chang,Raymond J. McGuire,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Scott M. Stringer,Dianne Morales,2
Aaron S. Foldenauer,Andrew Yang,Art Chang,Shaun Donovan,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,Shaun Donovan,Paperboy Love Prince,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,skipped,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Art Chang,skipped,skipped,9
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Art Chang,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Art Chang,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Art Chang,Joycelyn Taylor,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Art Chang,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Eric L. Adams,Joycelyn Taylor,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Eric L. Adams,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Eric L. Adams,Shaun Donovan,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Eric L. Adams,skipped,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Joycelyn Taylor,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Joycelyn Taylor,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Joycelyn Taylor,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Joycelyn Taylor,skipped,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Kathryn A. Garcia,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Kathryn A. Garcia,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Kathryn A. Garcia,Joycelyn Taylor,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Maya D. Wiley,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Maya D. Wiley,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Maya D. Wiley,Scott M. Stringer,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Maya D. Wiley,Shaun Donovan,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Raymond J. McGuire,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Raymond J. McGuire,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Raymond J. McGuire,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Scott M. Stringer,Andrew Yang,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Scott M. Stringer,Art Chang,3
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Scott M. Stringer,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Scott M. Stringer,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Scott M. Stringer,Raymond J. McGuire,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Shaun Donovan,Eric L. Adams,2
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Shaun Donovan,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,Shaun Donovan,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,skipped,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Dianne Morales,skipped,skipped,3
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Art Chang,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Art Chang,skipped,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Dianne Morales,Kathryn A. Garcia,2
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Dianne Morales,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Dianne Morales,Paperboy Love Prince,2
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Eric L. Adams,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Isaac Wright Jr.,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Joycelyn Taylor,skipped,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Kathryn A. Garcia,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Kathryn A. Garcia,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Kathryn A. Garcia,Paperboy Love Prince,3
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Kathryn A. Garcia,Scott M. Stringer,2
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Maya D. Wiley,Dianne Morales,2
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Maya D. Wiley,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Maya D. Wiley,skipped,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Paperboy Love Prince,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Raymond J. McGuire,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Raymond J. McGuire,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Raymond J. McGuire,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Raymond J. McGuire,skipped,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Raymond J. McGuire,writein,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Scott M. Stringer,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Scott M. Stringer,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Scott M. Stringer,Paperboy Love Prince,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Scott M. Stringer,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,Scott M. Stringer,skipped,1
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,skipped,skipped,13
Aaron S. Foldenauer,Andrew Yang,Eric L. Adams,writein,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Eric L. Adams,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Eric L. Adams,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Joycelyn Taylor,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Joycelyn Taylor,skipped,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Kathryn A. Garcia,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,Raymond J. McGuire,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,skipped,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Isaac Wright Jr.,skipped,skipped,2
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Art Chang,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Dianne Morales,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Dianne Morales,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Eric L. Adams,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Eric L. Adams,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Kathryn A. Garcia,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Kathryn A. Garcia,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Kathryn A. Garcia,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Maya D. Wiley,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Raymond J. McGuire,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Raymond J. McGuire,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,Shaun Donovan,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,skipped,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Joycelyn Taylor,skipped,skipped,3
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Art Chang,Scott M. Stringer,2
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Art Chang,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,Scott M. Stringer,2
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,Shaun Donovan,2
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Dianne Morales,writein,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Eric L. Adams,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Eric L. Adams,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Eric L. Adams,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Eric L. Adams,Scott M. Stringer,2
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Isaac Wright Jr.,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Joycelyn Taylor,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Joycelyn Taylor,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Maya D. Wiley,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Paperboy Love Prince,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Raymond J. McGuire,Dianne Morales,3
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Raymond J. McGuire,Eric L. Adams,6
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Raymond J. McGuire,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Raymond J. McGuire,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Raymond J. McGuire,writein,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Scott M. Stringer,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Scott M. Stringer,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Scott M. Stringer,skipped,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,Shaun Donovan,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,skipped,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Kathryn A. Garcia,skipped,skipped,9
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Aaron S. Foldenauer,Aaron S. Foldenauer,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Aaron S. Foldenauer,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Art Chang,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Art Chang,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Art Chang,Shaun Donovan,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Dianne Morales,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Dianne Morales,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Dianne Morales,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Eric L. Adams,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Eric L. Adams,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Eric L. Adams,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Eric L. Adams,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Isaac Wright Jr.,Paperboy Love Prince,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Joycelyn Taylor,Dianne Morales,2
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Kathryn A. Garcia,Eric L. Adams,2
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Kathryn A. Garcia,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Paperboy Love Prince,skipped,2
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Scott M. Stringer,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Scott M. Stringer,Kathryn A. Garcia,2
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,Shaun Donovan,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,overvote,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Maya D. Wiley,skipped,skipped,4
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Art Chang,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Eric L. Adams,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Eric L. Adams,skipped,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Isaac Wright Jr.,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Isaac Wright Jr.,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Scott M. Stringer,Joycelyn Taylor,2
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,Shaun Donovan,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,skipped,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Paperboy Love Prince,skipped,skipped,2
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Art Chang,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Art Chang,Joycelyn Taylor,2
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Art Chang,Paperboy Love Prince,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Art Chang,writein,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Dianne Morales,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Dianne Morales,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Dianne Morales,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Dianne Morales,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Eric L. Adams,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Eric L. Adams,skipped,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Isaac Wright Jr.,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Joycelyn Taylor,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Joycelyn Taylor,writein,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Kathryn A. Garcia,Art Chang,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Paperboy Love Prince,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,Scott M. Stringer,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Raymond J. McGuire,skipped,skipped,5
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Art Chang,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Art Chang,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Dianne Morales,Maya D. Wiley,2
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Dianne Morales,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Dianne Morales,overvote,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Eric L. Adams,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Eric L. Adams,Joycelyn Taylor,3
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Eric L. Adams,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Eric L. Adams,skipped,2
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Kathryn A. Garcia,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Kathryn A. Garcia,Eric L. Adams,2
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Kathryn A. Garcia,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Kathryn A. Garcia,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Kathryn A. Garcia,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Maya D. Wiley,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Maya D. Wiley,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Paperboy Love Prince,Andrew Yang,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Paperboy Love Prince,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Raymond J. McGuire,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,Shaun Donovan,Eric L. Adams,1
Aaron S. Foldenauer,Andrew Yang,Scott M. Stringer,skipped,skipped,8
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Art Chang,Eric L. Adams,2
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Art Chang,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Art Chang,skipped,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Art Chang,writein,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Eric L. Adams,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Isaac Wright Jr.,Kathryn A. Garcia,2
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Isaac Wright Jr.,Raymond J. McGuire,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Isaac Wright Jr.,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Kathryn A. Garcia,Kathryn A. Garcia,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Kathryn A. Garcia,Raymond J. McGuire,2
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Kathryn A. Garcia,skipped,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Maya D. Wiley,Joycelyn Taylor,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Raymond J. McGuire,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Raymond J. McGuire,Isaac Wright Jr.,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Raymond J. McGuire,Kathryn A. Garcia,2
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,Raymond J. McGuire,Scott M. Stringer,1
Aaron S. Foldenauer,Andrew Yang,Shaun Donovan,skipped,skipped,1
Aaron S. Foldenauer,Andrew Yang,overvote,Eric L. Adams,skipped,1
Aaron S. Foldenauer,Andrew Yang,skipped,Andrew Yang,Dianne Morales,1
Aaron S. Foldenauer,Andrew Yang,skipped,Art Chang,skipped,1
Aaron S. Foldenauer,Andrew Yang,skipped,Eric L. Adams,skipped,2
Aaron S. Foldenauer,Andrew Yang,skipped,Kathryn A. Garcia,skipped,1
Aaron S. Foldenauer,Andrew Yang,skipped,Maya D. Wiley,skipped,2
Aaron S. Foldenauer,Andrew Yang,skipped,skipped,Aaron S. Foldenauer,1
Aaron S. Foldenauer,Andrew Yang,skipped,skipped,Andrew Yang,1
Aaron S. Foldenauer,Andrew Yang,skipped,skipped,Maya D. Wiley,1
Aaron S. Foldenauer,Andrew Yang,skipped,skipped,skipped,80
Aaron S. Foldenauer,Art Chang,Aaron S. Foldenauer,Eric L. Adams,Andrew Yang,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,Eric L. Adams,2
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,Kathryn A. Garcia,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,Paperboy Love Prince,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,Scott M. Stringer,3
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,Shaun Donovan,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Dianne Morales,skipped,2
Aaron S. Foldenauer,Art Chang,Andrew Yang,Eric L. Adams,Joycelyn Taylor,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Eric L. Adams,Kathryn A. Garcia,2
Aaron S. Foldenauer,Art Chang,Andrew Yang,Eric L. Adams,Raymond J. McGuire,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Eric L. Adams,skipped,2
Aaron S. Foldenauer,Art Chang,Andrew Yang,Isaac Wright Jr.,Joycelyn Taylor,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Joycelyn Taylor,Dianne Morales,2
Aaron S. Foldenauer,Art Chang,Andrew Yang,Joycelyn Taylor,Paperboy Love Prince,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Joycelyn Taylor,Scott M. Stringer,1
Aaron S. Foldenauer,Art Chang,Andrew Yang,Joycelyn Taylor,skipped,1
